date,district,dong,station,pm25_actual,pm25_source,pm25_confidence,weather_source,total_risk,mean_risk,max_risk,is_warning,high_risk_diseases,temp,humidity
2026-08-07,서북구,성환읍,성성동,19.8,낮음,medium,단기예보(실측기반),57.1,33.9,80.2,True,알레르기성 접촉피부염(80.2점),30.4,66.9
2026-08-07,동남구,신방동,신방동,20.3,낮음,medium,단기예보(실측기반),57.0,32.5,81.6,True,알레르기성 접촉피부염(81.6점),30.9,63.8
2026-08-07,동남구,청룡동,신방동,20.3,낮음,medium,단기예보(실측기반),57.0,32.5,81.6,True,알레르기성 접촉피부염(81.6점),30.9,63.8
2026-08-05,서북구,성환읍,성성동,17.5,예보없음(지속성가정),low,단기예보(실측기반),56.9,31.8,82.0,True,알레르기성 접촉피부염(82.0점),30.5,74.8
2026-08-06,동남구,원성1동,성황동,20.1,낮음,medium,단기예보(실측기반),56.9,32.0,81.8,True,알레르기성 접촉피부염(81.8점),30.7,68.5
2026-08-06,서북구,백석동,백석동,20.8,낮음,medium,단기예보(실측기반),56.9,32.3,81.4,True,알레르기성 접촉피부염(81.4점),30.3,64.6
2026-08-05,서북구,백석동,백석동,19.3,예보없음(지속성가정),low,단기예보(실측기반),56.7,30.5,82.9,True,알레르기성 접촉피부염(82.9점),30.2,70.6
2026-08-04,동남구,목천읍,신방동,18.0,실시간,high,단기예보(실측기반),56.4,29.3,83.5,True,알레르기성 접촉피부염(83.5점),32.2,66.7
2026-08-05,동남구,신방동,신방동,18.7,예보없음(지속성가정),low,단기예보(실측기반),56.4,30.4,82.4,True,알레르기성 접촉피부염(82.4점),30.2,71.5
2026-08-05,동남구,청룡동,신방동,18.7,예보없음(지속성가정),low,단기예보(실측기반),56.4,30.4,82.4,True,알레르기성 접촉피부염(82.4점),30.2,71.5
2026-08-07,동남구,원성1동,성황동,20.0,낮음,medium,단기예보(실측기반),56.4,31.8,81.1,True,알레르기성 접촉피부염(81.1점),30.9,64.4
2026-08-07,서북구,백석동,백석동,20.5,낮음,medium,단기예보(실측기반),55.5,31.2,79.9,True,알레르기성 접촉피부염(79.9점),30.6,61.9
2026-08-04,서북구,백석동,백석동,19.0,실시간,high,단기예보(실측기반),55.1,26.1,84.0,True,알레르기성 접촉피부염(84.0점),32.4,64.4
2026-08-04,서북구,성환읍,성성동,16.0,실시간,high,단기예보(실측기반),54.8,27.2,82.4,True,알레르기성 접촉피부염(82.4점),32.6,68.9
2026-08-05,동남구,원성1동,성황동,18.1,예보없음(지속성가정),low,단기예보(실측기반),54.7,28.1,81.3,True,알레르기성 접촉피부염(81.3점),30.5,70.8
2026-08-04,동남구,신방동,신방동,18.0,실시간,high,단기예보(실측기반),54.6,25.9,83.4,True,알레르기성 접촉피부염(83.4점),32.6,64.4
2026-08-04,동남구,청룡동,신방동,18.0,실시간,high,단기예보(실측기반),54.6,25.9,83.4,True,알레르기성 접촉피부염(83.4점),32.6,64.4
2026-08-06,서북구,성성동,성성동,19.7,낮음,medium,단기예보(실측기반),54.3,29.1,79.5,True,알레르기성 접촉피부염(79.5점),30.8,64.8
2026-08-07,서북구,성성동,성성동,19.8,낮음,medium,단기예보(실측기반),54.1,28.8,79.3,True,알레르기성 접촉피부염(79.3점),31.1,61.9
2026-08-06,서북구,불당동,성성동,19.7,낮음,medium,단기예보(실측기반),53.6,28.5,78.7,True,알레르기성 접촉피부염(78.7점),31.0,61.0
2026-08-05,서북구,불당동,성성동,17.5,예보없음(지속성가정),low,단기예보(실측기반),53.3,27.7,78.9,True,알레르기성 접촉피부염(78.9점),30.5,70.0
2026-08-05,서북구,성성동,성성동,17.5,예보없음(지속성가정),low,단기예보(실측기반),53.3,27.0,79.5,True,알레르기성 접촉피부염(79.5점),30.7,70.0
2026-08-07,서북구,불당동,성성동,19.8,낮음,medium,단기예보(실측기반),53.3,28.3,78.4,True,알레르기성 접촉피부염(78.4점),31.0,61.2
2026-08-04,동남구,원성1동,성황동,17.0,실시간,high,단기예보(실측기반),53.1,24.1,82.1,True,알레르기성 접촉피부염(82.1점),32.8,64.4
2026-08-07,서북구,성거읍,성거읍,19.0,낮음,medium,단기예보(실측기반),52.6,28.1,77.0,True,알레르기성 접촉피부염(77.0점),31.0,62.5
2026-08-06,서북구,성거읍,성거읍,18.3,낮음,medium,단기예보(실측기반),52.4,28.0,76.7,True,알레르기성 접촉피부염(76.7점),31.0,66.9
2026-08-04,서북구,성성동,성성동,16.0,실시간,high,단기예보(실측기반),51.4,22.9,79.8,True,알레르기성 접촉피부염(79.8점),32.8,63.9
2026-08-04,서북구,불당동,성성동,16.0,실시간,high,단기예보(실측기반),51.2,23.3,79.2,True,알레르기성 접촉피부염(79.2점),32.6,64.4
2026-08-08,동남구,병천면,수신면,20.3,낮음,medium,예보없음(시뮬레이션폴백),53.8,45.0,62.7,False,안전,24.5,69.0
2026-08-08,서북구,성환읍,성성동,19.9,낮음,medium,예보없음(시뮬레이션폴백),50.2,35.8,64.7,False,안전,25.5,67.0
2026-08-05,서북구,성거읍,성거읍,15.1,예보없음(지속성가정),low,단기예보(실측기반),49.7,24.6,74.7,False,안전,30.9,71.2
2026-08-08,서북구,불당동,성성동,19.9,낮음,medium,예보없음(시뮬레이션폴백),48.9,31.3,66.5,False,안전,26.5,66.0
2026-08-08,서북구,백석동,백석동,20.3,낮음,medium,예보없음(시뮬레이션폴백),48.7,33.2,64.1,False,안전,25.5,65.0
2026-08-08,서북구,성성동,성성동,19.9,낮음,medium,예보없음(시뮬레이션폴백),48.1,28.4,67.8,False,안전,27.5,61.0
2026-08-04,서북구,성거읍,성거읍,12.0,실시간,high,단기예보(실측기반),47.7,20.8,74.5,False,안전,33.3,65.0
2026-08-08,동남구,신방동,신방동,20.2,낮음,medium,예보없음(시뮬레이션폴백),46.8,39.0,54.7,False,안전,21.5,68.0
