date,district,dong,station,pm25_actual,pm25_source,pm25_confidence,weather_source,total_risk,본태성(원발성) 고혈압,급성 상기도감염,급성 기관지염,혈관운동성 및 알레르기성 비염,천식,위염 및 십이지장염,알레르기성 접촉피부염,무릎관절증,등통증
2026-08-06,서북구,성거읍,성거읍,18.3,낮음,medium,단기예보(실측기반),52.4,33.4,16.5,17.2,16.7,14.5,20.7,76.7,31.1,25.4
2026-08-06,서북구,백석동,백석동,20.8,낮음,medium,단기예보(실측기반),56.9,39.2,20.9,23.5,20.7,14.9,21.9,81.4,37.6,30.8
2026-08-06,서북구,불당동,성성동,19.7,낮음,medium,단기예보(실측기반),53.6,35.3,17.2,19.1,16.6,12.0,19.0,78.7,33.4,25.5
2026-08-06,서북구,성성동,성성동,19.7,낮음,medium,단기예보(실측기반),54.3,35.7,17.5,19.2,17.2,13.5,20.1,79.5,33.2,26.3
2026-08-07,동남구,목천읍,신방동,20.3,낮음,medium,단기예보(실측기반),57.8,40.6,22.0,24.6,22.5,15.1,22.9,81.7,41.3,34.8
2026-08-07,동남구,병천면,수신면,20.5,낮음,medium,단기예보(실측기반),63.0,48.9,35.2,37.0,38.7,34.3,37.0,79.7,53.0,53.4
2026-08-07,동남구,신방동,신방동,20.3,낮음,medium,단기예보(실측기반),57.0,39.4,20.8,23.3,20.7,14.2,21.7,81.6,38.7,31.7
2026-08-07,동남구,원성1동,성황동,20.0,낮음,medium,단기예보(실측기반),56.4,38.6,20.1,22.2,19.8,15.3,21.9,81.1,36.9,30.3
2026-08-07,동남구,청룡동,신방동,20.3,낮음,medium,단기예보(실측기반),57.0,39.4,20.8,23.3,20.7,14.2,21.7,81.6,38.7,31.7
2026-08-07,서북구,성환읍,성성동,19.8,낮음,medium,단기예보(실측기반),57.1,39.9,22.2,23.9,22.2,19.7,25.3,80.2,38.4,33.6
2026-08-07,서북구,성거읍,성거읍,19.0,낮음,medium,단기예보(실측기반),52.6,34.6,17.2,18.7,16.7,12.5,19.7,77.0,32.0,24.7
2026-08-07,서북구,백석동,백석동,20.5,낮음,medium,단기예보(실측기반),55.5,38.7,20.5,23.6,19.7,12.9,20.5,79.9,36.5,28.2
2026-08-07,서북구,불당동,성성동,19.8,낮음,medium,단기예보(실측기반),53.3,35.7,17.5,19.9,16.4,11.1,18.2,78.4,33.1,24.2
2026-08-07,서북구,성성동,성성동,19.8,낮음,medium,단기예보(실측기반),54.1,36.1,17.7,20.0,16.9,11.9,19.1,79.3,33.4,25.2
2026-08-08,동남구,목천읍,신방동,20.2,낮음,medium,예보없음(시뮬레이션폴백),64.7,50.2,39.9,40.2,43.2,46.4,43.6,79.3,53.1,55.0
2026-08-08,동남구,병천면,수신면,20.3,낮음,medium,예보없음(시뮬레이션폴백),53.8,48.3,41.4,43.8,41.1,35.4,39.2,62.7,47.9,44.9
2026-08-08,동남구,신방동,신방동,20.2,낮음,medium,예보없음(시뮬레이션폴백),46.8,44.2,39.3,42.1,36.1,27.0,34.2,54.7,40.5,32.6
2026-08-08,동남구,원성1동,성황동,20.0,낮음,medium,예보없음(시뮬레이션폴백),62.3,44.9,28.7,29.5,30.8,35.9,33.8,82.7,45.2,45.3
2026-08-08,동남구,청룡동,신방동,20.2,낮음,medium,예보없음(시뮬레이션폴백),59.1,43.7,28.4,30.2,28.8,28.4,30.5,79.2,42.9,39.7
2026-08-08,서북구,성환읍,성성동,19.9,낮음,medium,예보없음(시뮬레이션폴백),50.2,41.8,30.8,33.3,28.4,23.5,29.9,64.7,38.0,31.5
2026-08-08,서북구,성거읍,성거읍,19.4,낮음,medium,예보없음(시뮬레이션폴백),62.0,44.2,29.3,29.0,32.5,40.2,36.3,81.3,45.2,46.7
2026-08-08,서북구,백석동,백석동,20.3,낮음,medium,예보없음(시뮬레이션폴백),48.7,40.6,29.1,32.7,25.9,17.7,25.9,64.1,36.1,27.0
2026-08-08,서북구,불당동,성성동,19.9,낮음,medium,예보없음(시뮬레이션폴백),48.9,38.6,25.7,28.5,22.8,16.6,24.0,66.5,34.1,25.2
2026-08-08,서북구,성성동,성성동,19.9,낮음,medium,예보없음(시뮬레이션폴백),48.1,36.5,21.8,24.9,18.7,12.2,20.5,67.8,31.2,21.6
