진료년월,월평균기온,월평균_최저기온,월평균_최고기온,월평균_일교차,월최대_일교차,한파일수_비율,폭염일수_비율,월평균습도,월총강수량,월평균기압
2014-09,20.75,16.43,26.27,9.84,19.8,0.0,0.0,76.99,119.88,1001.09
2014-10,14.83,9.58,21.12,11.54,24.2,0.0,0.0,72.3,113.95,1006.9
2014-11,8.91,4.22,14.47,10.25,20.9,0.0,0.0,69.73,60.74,1008.38
2014-12,-0.25,-4.67,4.58,9.25,19.4,0.06,0.0,61.57,27.83,1010.31
2015-01,0.72,-3.72,5.65,9.37,20.0,0.04,0.0,64.11,30.7,1010.61
2015-02,2.12,-2.42,7.25,9.67,23.9,0.02,0.0,61.39,28.65,1008.65
2015-03,6.72,0.6,13.32,12.72,25.4,0.0,0.0,53.27,45.08,1007.98
2015-04,12.56,7.26,18.42,11.16,26.3,0.0,0.0,66.37,133.96,1003.39
2015-05,18.33,12.15,24.84,12.69,25.4,0.0,0.01,60.29,69.74,997.37
2015-06,21.33,16.89,26.65,9.76,24.2,0.0,0.02,72.42,102.93,995.02
2015-07,24.12,20.74,28.43,7.69,17.2,0.0,0.1,79.67,186.97,995.04
2015-08,24.98,21.19,30.0,8.8,18.0,0.0,0.17,79.41,119.46,996.37
2015-09,20.27,15.58,25.99,10.41,21.7,0.0,0.0,74.55,69.41,1001.67
2015-10,14.95,9.63,21.48,11.84,23.9,0.0,0.0,69.42,64.8,1005.91
2015-11,10.17,6.74,14.23,7.49,23.5,0.0,0.0,79.52,131.46,1010.17
2015-12,3.71,-0.39,8.33,8.73,20.0,0.01,0.0,69.42,44.92,1011.77
2016-01,-0.69,-4.86,3.94,8.79,20.8,0.11,0.0,61.48,30.66,1011.06
2016-02,1.88,-2.96,7.11,10.07,23.9,0.03,0.0,58.26,50.92,1010.8
2016-03,7.17,1.66,13.17,11.51,25.5,0.0,0.0,60.45,62.1,1008.36
2016-04,13.66,8.15,20.0,11.85,27.0,0.0,0.0,65.29,163.52,1000.94
2016-05,18.33,12.31,24.78,12.47,25.5,0.0,0.0,64.58,103.36,999.3
2016-06,22.01,17.9,26.91,9.01,21.9,0.0,0.01,75.63,77.95,995.67
2016-07,25.21,21.89,29.54,7.66,15.9,0.0,0.16,82.7,284.24,996.06
2016-08,26.45,22.3,31.83,9.52,19.2,0.0,0.52,75.53,83.32,993.83
2016-09,21.48,18.02,26.04,8.02,18.2,0.0,0.0,81.66,207.23,1000.99
2016-10,15.8,11.98,20.67,8.68,20.3,0.0,0.0,77.84,155.11,1006.22
2016-11,7.97,3.18,13.35,10.18,21.5,0.0,0.0,68.78,36.42,1009.61
2016-12,3.26,-1.41,8.41,9.82,22.8,0.01,0.0,66.92,67.15,1010.95
2017-01,0.27,-4.53,5.6,10.13,23.2,0.1,0.0,61.54,16.85,1011.27
2017-02,1.74,-3.65,7.39,11.04,24.9,0.02,0.0,57.58,33.29,1009.36
2017-03,6.22,0.55,12.5,11.95,25.1,0.0,0.0,57.94,25.37,1006.28
2017-04,13.67,7.66,20.1,12.45,26.5,0.0,0.0,60.14,72.14,1000.34
2017-05,18.46,12.28,25.11,12.83,25.7,0.0,0.02,61.79,30.87,999.82
2017-06,21.52,16.37,27.53,11.16,22.1,0.0,0.05,68.02,57.39,996.35
2017-07,26.25,23.13,30.43,7.3,18.7,0.0,0.19,83.6,281.34,995.76
2017-08,25.32,21.77,29.86,8.08,17.5,0.0,0.18,80.61,238.53,995.52
2017-09,20.47,15.75,26.15,10.4,22.6,0.0,0.0,75.75,96.26,1000.51
2017-10,15.25,10.84,20.83,9.99,22.6,0.0,0.0,74.84,74.33,1007.67
2017-11,6.91,1.4,13.01,11.61,23.9,0.0,0.0,62.36,12.39,1009.35
2017-12,0.01,-4.76,5.1,9.86,23.8,0.07,0.0,58.99,23.31,1011.77
2018-01,-1.87,-6.19,3.1,9.29,23.7,0.17,0.0,59.4,24.79,1010.0
2018-02,-0.09,-5.54,5.68,11.22,25.8,0.12,0.0,51.67,34.83,1009.56
2018-03,8.03,2.42,14.11,11.69,25.3,0.0,0.0,68.31,112.29,1007.03
2018-04,13.15,7.26,19.36,12.11,26.9,0.0,0.0,64.13,139.6,1002.91
2018-05,17.59,12.47,23.09,10.62,25.0,0.0,0.0,72.58,132.57,999.26
2018-06,21.92,17.34,27.43,10.09,21.8,0.0,0.05,72.46,146.87,995.85
2018-07,26.54,22.64,31.35,8.71,17.3,0.0,0.46,78.08,168.34,996.66
2018-08,27.04,23.18,31.97,8.79,19.6,0.0,0.43,76.96,292.87,995.49
2018-09,20.34,16.27,25.19,8.93,19.2,0.0,0.0,77.19,152.21,1000.97
2018-10,13.05,8.03,19.11,11.08,21.4,0.0,0.0,71.8,166.57,1005.98
2018-11,8.17,3.15,14.46,11.31,22.7,0.0,0.0,70.27,47.73,1010.42
2018-12,1.4,-3.13,6.51,9.64,21.5,0.08,0.0,60.0,32.32,1013.34
2019-01,0.44,-4.64,6.22,10.86,21.9,0.06,0.0,55.19,9.5,1012.18
2019-02,2.49,-2.42,8.04,10.46,20.7,0.01,0.0,58.1,33.64,1010.49
2019-03,7.41,1.69,13.63,11.95,26.4,0.0,0.0,60.32,42.31,1004.29
2019-04,11.8,6.09,17.82,11.74,25.8,0.0,0.0,62.93,78.13,1002.46
2019-05,18.35,11.63,25.24,13.61,26.7,0.0,0.02,58.14,66.77,999.58
2019-06,21.03,16.48,26.45,9.97,21.8,0.0,0.01,74.83,153.17,995.07
2019-07,24.51,21.24,28.68,7.45,19.5,0.0,0.08,80.88,235.29,994.41
2019-08,25.92,22.16,30.65,8.49,15.4,0.0,0.26,79.44,143.15,995.29
2019-09,21.59,17.95,26.29,8.34,18.9,0.0,0.0,81.7,237.35,1002.8
2019-10,15.7,11.03,21.3,10.27,21.3,0.0,0.0,75.17,164.45,1006.54
2019-11,8.82,3.57,15.12,11.54,22.9,0.0,0.0,69.27,54.24,1009.95
2019-12,2.97,-1.54,8.16,9.69,22.9,0.01,0.0,65.83,29.54,1012.46
2020-01,2.92,-0.96,7.67,8.64,19.6,0.0,0.0,68.41,84.56,1010.27
2020-02,3.74,-1.12,9.13,10.26,23.2,0.02,0.0,67.05,58.97,1011.66
2020-03,7.9,1.92,14.04,12.12,24.8,0.0,0.0,60.73,33.14,1005.23
2020-04,10.73,4.57,17.09,12.52,26.1,0.0,0.0,55.96,43.24,1004.91
2020-05,17.54,12.68,23.06,10.39,22.8,0.0,0.0,72.78,108.66,998.48
2020-06,22.59,18.2,27.84,9.64,22.5,0.0,0.06,75.68,192.17,994.65
2020-07,22.55,19.7,26.27,6.56,16.2,0.0,0.0,86.23,411.05,995.36
2020-08,26.53,23.58,30.56,6.98,16.1,0.0,0.19,85.22,399.13,997.42
2020-09,20.26,16.52,24.99,8.47,19.0,0.0,0.0,80.4,230.87,1000.01
2020-10,13.98,8.81,20.19,11.38,21.5,0.0,0.0,68.96,13.47,1008.18
2020-11,8.88,3.92,14.45,10.53,23.1,0.0,0.0,65.6,40.57,1012.12
2020-12,0.87,-3.78,6.36,10.15,19.3,0.06,0.0,60.61,10.76,1013.13
2021-01,-0.54,-5.61,4.87,10.48,22.5,0.17,0.0,63.55,24.77,1011.44
2021-02,3.78,-1.65,9.69,11.35,27.4,0.01,0.0,58.52,22.54,1008.4
2021-03,8.91,3.45,14.91,11.46,24.2,0.0,0.0,67.6,113.02,1007.2
2021-04,13.25,7.48,19.31,11.83,24.9,0.0,0.0,58.99,77.17,1006.17
2021-05,16.74,11.61,22.25,10.64,23.4,0.0,0.0,71.03,139.1,997.42
2021-06,21.77,17.62,26.75,9.14,20.8,0.0,0.0,77.55,97.12,996.29
2021-07,26.07,22.34,30.77,8.43,16.1,0.0,0.26,80.78,236.44,996.83
2021-08,24.94,21.71,29.34,7.63,15.6,0.0,0.12,83.03,287.8,996.98
2021-09,21.54,17.95,25.99,8.04,15.3,0.0,0.0,80.68,158.26,1001.79
2021-10,15.45,10.82,21.38,10.56,21.0,0.0,0.0,76.1,54.89,1008.97
2021-11,8.68,3.75,14.82,11.07,22.0,0.0,0.0,70.08,56.49,1007.15
2021-12,2.35,-2.49,7.84,10.33,20.4,0.05,0.0,63.85,10.09,1011.76
2022-01,-0.3,-5.3,5.32,10.63,22.4,0.09,0.0,57.01,4.5,1011.48
2022-02,0.32,-4.88,5.93,10.81,23.5,0.06,0.0,52.02,4.57,1012.35
2022-03,7.9,2.29,13.84,11.54,23.7,0.0,0.0,64.98,91.99,1004.99
2022-04,13.81,7.67,20.38,12.72,25.0,0.0,0.0,60.53,60.47,1004.74
2022-05,18.05,11.69,24.6,12.91,24.5,0.0,0.01,58.29,6.07,1000.41
2022-06,22.34,18.38,27.09,8.71,23.1,0.0,0.05,76.47,180.74,995.9
2022-07,25.99,22.59,30.33,7.73,16.6,0.0,0.2,81.65,184.25,994.37
2022-08,25.44,22.33,29.29,6.96,18.2,0.0,0.11,83.12,280.77,995.75
2022-09,21.13,16.91,26.38,9.47,22.4,0.0,0.01,77.04,157.82,1001.15
2022-10,14.21,9.25,20.22,10.97,24.3,0.0,0.0,72.53,76.72,1009.32
2022-11,9.99,4.41,16.74,12.33,23.8,0.0,0.0,68.1,62.27,1008.75
2022-12,-0.76,-5.27,4.33,9.6,21.1,0.11,0.0,61.79,17.02,1011.5
2023-01,-0.06,-5.14,5.56,10.7,25.8,0.11,0.0,62.69,44.95,1011.53
2023-02,2.86,-2.33,8.75,11.09,25.7,0.0,0.0,60.9,19.36,1012.66
2023-03,9.51,3.01,16.52,13.51,25.7,0.0,0.0,56.49,30.92,1007.87
2023-04,13.18,7.27,19.08,11.8,26.1,0.0,0.0,63.03,70.46,1002.92
2023-05,17.89,12.53,23.56,11.02,26.7,0.0,0.01,70.56,201.29,1001.52
2023-06,22.34,18.03,27.45,9.42,18.8,0.0,0.03,75.66,203.27,995.74
2023-07,25.55,22.49,29.63,7.13,16.0,0.0,0.14,85.64,483.87,996.49
2023-08,26.5,23.09,30.97,7.88,15.2,0.0,0.3,81.64,292.99,994.21
2023-09,22.73,19.25,27.31,8.06,18.5,0.0,0.0,81.67,193.0,1001.37
2023-10,15.03,9.94,21.36,11.42,22.3,0.0,0.0,72.15,16.35,1006.84
2023-11,8.34,3.31,13.85,10.54,23.1,0.0,0.0,65.65,65.1,1009.04
2023-12,2.82,-1.59,7.72,9.31,24.2,0.05,0.0,70.62,102.05,1011.96
2024-01,1.32,-2.94,6.1,9.04,22.0,0.04,0.0,67.25,35.3,1012.14
2024-02,4.43,0.44,9.04,8.6,23.0,0.0,0.0,75.76,110.19,1011.72
2024-03,7.11,1.74,12.72,10.99,24.4,0.0,0.0,62.61,68.17,1006.01
2024-04,14.95,9.51,21.06,11.55,26.5,0.0,0.0,68.48,84.93,1001.96
2024-05,17.73,11.9,23.96,12.06,27.2,0.0,0.0,67.49,119.52,1001.4
2024-06,22.68,17.64,28.34,10.7,24.0,0.0,0.1,71.33,145.51,996.37
2024-07,26.31,23.43,29.98,6.55,15.1,0.0,0.15,83.71,353.5,995.68
2024-08,28.0,24.22,33.02,8.81,16.6,0.0,0.56,78.96,83.62,995.9
2024-09,24.81,21.06,29.77,8.71,19.9,0.0,0.21,79.93,249.76,1001.53
2024-10,16.42,12.23,21.65,9.42,19.9,0.0,0.0,79.41,119.26,1007.87
2024-11,10.07,5.33,15.81,10.48,21.3,0.0,0.0,71.56,73.07,1009.58
2024-12,2.26,-2.15,7.26,9.41,19.4,0.01,0.0,60.1,8.16,1010.47
2025-01,0.25,-4.48,5.72,10.2,21.7,0.05,0.0,63.45,17.67,1011.21
2025-02,-0.1,-5.1,5.34,10.44,24.3,0.08,0.0,56.48,20.79,1011.22
2025-03,7.73,2.15,13.76,11.61,26.7,0.0,0.0,61.19,49.18,1006.2
2025-04,13.11,6.76,19.69,12.93,25.9,0.0,0.0,62.31,69.22,999.94
2025-05,16.79,11.64,22.39,10.75,22.9,0.0,0.0,72.05,119.36,999.52
